label,text
3,"The Good:  First off, I usually don't go to shows when I'm in Vegas.  Heck, I usually don't go to shows and I usually just gamble when I'm in Vegas.  This trip was different, it's another story, and what can I say, this show is pretty awesome.  This is actually my first time to a Las Vegas show.  It's pretty much all Beatles music with a Cirque du Soleil performance of their crazy high flying stunts.  There is so much going on that you shouldn't get bored and you'll end up leaving thinking how did they do that?\n\nThe Bad:  The lines, entering and exiting.  It's pretty much near the casino so there are huge bottlenecks.  Security is a bitch, they were busting people left and right for pics or vids.   Don't do it, they will catch you.\n\nThe Ben:  Glad this was my first show.  It was good and I might be convinced to go to another show, just let me get my gamble on first :D"
2,"I think they have every bridal shoe you can find online all conveniently located in this store and what they don't have they are willing to order for you with no hassle. Their prices are average on most things; I was actually expecting a lot more in the way of accessories (guest books, pens, cake toppers, etc.). They did have an okay selection to choose from but I guess I expected a little more from a place calling itself a \""Superstore\"". The attire half of this shop was pretty decent though, they appeared to have an acceptable amount of bridal and wedding party dresses in the store. I'm glad I stopped here, because I got to try on shoes and my mom got a shirt that said Mother of the Bride, but that was pretty overpriced at $40 for a cotton t-shirt with rhinestones on it. Actually, being that we found my mom's dress for the wedding on clearance at JC Penney's, the shirt cost more then the dress! Customer service was okay, but I had a heck of a time hunting down someone who wasn't busy doing something to help me out."
4,"5 stars for a kid's pizza place you say?  Yes, and I will tell you why.  This Peter Piper Pizza location is the best I have been to.  Clean, friendly staff, and great pizza (really!  try the Chicago Classic - yum!).  A good place for both adults and kids to hang out.  They have beer and wine; it's an inexpensive happy hour for the ol' folks!  The gameroom guy treated my children like gold, fixing a broken game promptly & even bumping up their ticket count a bit so my daughter could get a coveted 500 ticket prize.  Management ensured we had a reserved table for the last birthday party we held for 20+ people, and the staff promptly served the pizzas directly to our table (normally you get a buzzer to pick up your own).  You can tell that the staff at this location takes pride in their work and serving the customer.  My family and I are loyal fans!"
3,"Went back to this OG tonight. Interesting show.\n\nAs I was walking up to the table, I saw server Crag (mentioned in my first review) was waiting on the tables around us. So before he could greet us, I said to the others in my party \""we need to get moved to a different section\"". Apparently, the hostess had told someone else in my party that we had a different server, so we settled in and watched to see how things went.\n\nOur excellent server tonight was Kayla. She did a great job. We gave her a diverse set of requests with our order, and she met all of them perfectly. She was attentive, friendly, suggested several upgrades, and generally continued to restore my faith in this location (like Adam and Joey had done before her). Her tip reflected it.\n\nMeanwhile, I watched the tables around us get ignored by Crag again. I thought it was sad that he was still working there, and still meeting his especially low level of expectations that he set for us when we were unfortunately sat in his section. Except this time, there was a manager going around asking the tables if they were happy with their service and food. The tables on both sides of us said the service was really slow and had some other complaints about wrong orders, unfilled glasses, and missing utensils. One of the tables was seated at the same time as us, and in the entire time they were there, Crag showed up exactly twice. The manager had to comp their meal. Not sure how Crag is still working there, especially since there are so many good servers working there, and especially since Crag is costing them money now with his consistently bad performance.\n\nAnyway, the food was good as usual.\n\nI do recommend this location now, and if you ask for Adam's, Joey's, or Kayla's sections, you'll be very happy with the service.\n\nOne last point: kudos to the manager (I didn't get his name, but he had short blonde hair and was a consummate professional); he did a really good job of making the customers happy (especially Crag's victims), and he kept the dining room flowing. Nice work!"
3,"This place could as easily be called \""Cool Bro Burgers\"" - low key atmosphere run by beared men who appeared in their 20's. Service was casual but prompt. This place gets 4 stars for creativity on the menu and 3 stars for execution/taste. The burgers all sound amazing. Mine was an egg and onion concoction. It sounded amazing but was just ok. I wasn't asked how i wanted my burger cooked. It was also gone too quick... I was glad i had ordered the sweet potato tots for an extra $2. They were very hot when served and were great with the jalapeno ranch. I would definitely try this place again because i am so curious about the rest of the menu but i hope to find one more satisfying in taste and bulk."
3,"Yep, I'm a fan! My friend and I drove past this restaurant once and one day decided to give it a shot... She got beef and broccoli and I got beef and green pepper. Beef and green pepper is pretty much just like beef pepper steak. It was only a 15 minute wait, so we went next door to smiths to grab some wine and kill time. After reading reviews, I'm curious as to what 'pho' is and how it tastes... that might be the next thing I try!"
2,"Service was very slow but food was decent...had the bean burrito and cheese enchiladas...local beer tastes like miller, nothing special.  Only option in tortilla flat! Atmosphere is quirky and interesting with western flair and thousands of dollar bills covering interior of entire restaurant!"
0,"Was hoping that this one would be quicker than the one on Flamingo. Given that it was a Sunday and there was only one other customer, we thought we got lucky. Unfortunately, it took quite a bit to flag down the employee and finally make eye contact. I told him we tried to make an appointment but the sprint app is useless and kept erroring out and would not let us login. He said he would be with us in 5 minutes. After 15, we had to give up and leave or we would have been late to work. Now we have to spend the next couple of days with a brand new phone that cannot power on because we cannot spare the hours it takes to go and wait at a sprint store."
3,"Stayed here mid July 2012 on a weekend. I was able to snag a 3 nights for $150 deal through Facebook. Overall I was satisfied with our stay but this hotel seems more like hotel for \""older folk\"". When you first walk you feel like your at a hospital because its really bright and white. The renovations are noticeable and the rooms are comfy. Won a bit of money on black-jack and roulette. The coconut/smoke mixture in the air got annoying after the 2nd day. Resort fee is 15 dollars which is less than a majority of the other resorts. The light let in from the blinds didn't really bug me. I would recommend this hotel if you are on a budget.\n\nPros\n-Check-in was fast.\n-Hotel does not get crowded (like other hotels).\n-Room was nice.\n-Pool area is nice even though it was a mixture of older and younger folk. \n\nCons\n-Our room felt like it was miles from the casino floor.\n-Bathrooms didn't seem so remodeled to me."
2,"The damn resturant is a very good place to eat cheap . The hooter girls are better than the ones we have here.  This place is'nt the first place i would go to gamble that is mgm.  However susan said their where readnecks and was waiting for the tractor pull lol.  Thats funny I live on a farm and still fit in at Pure and tryst with the high end people . Its vegas part of it is that you get to enjoy all types of people. Your proably just mad because those rednecks would'nt give you the time of day.  Hooters looks for rednecks and sports fans, not ho's who spend more money on makeup than blackjack."
